elapsed_s,method,repeat,rmse,time,timestamp
0.144165,Non-Incremental BLS,0,91.00195349314593,0.07251425000140443,2026-05-28 10:27:26
0.228518,Non-Incremental BLS,1,90.8882169494678,0.07279674999881536,2026-05-28 10:27:26
0.312394,Non-Incremental BLS,2,90.91387710361114,0.07272312499844702,2026-05-28 10:27:26
3.088228,Incremental BLS,0,825.3278267379916,2.761626959007117,2026-05-28 10:27:29
5.829006,Incremental BLS,1,743.0387755811184,2.7278742079943186,2026-05-28 10:27:32
8.601371,Incremental BLS,2,938.8442267225904,2.7588191670001834,2026-05-28 10:27:35
8.766967,Approximation Method,0,92.50880691260288,0.15269516599801136,2026-05-28 10:27:35
8.935549,Approximation Method,1,92.36084655481403,0.15586404199711978,2026-05-28 10:27:35
9.103017,Approximation Method,2,92.41257850328462,0.15548687500267988,2026-05-28 10:27:35
10.861233,TiBLS,0,91.001165497351,1.746823041998141,2026-05-28 10:27:37
12.639145,TiBLS,1,90.8876458741243,1.7660677500025486,2026-05-28 10:27:39
14.399423,TiBLS,2,90.90977992536892,1.7485441669996362,2026-05-28 10:27:40
14.490513,RI-BLS,0,91.00194066361519,0.07884604200080503,2026-05-28 10:27:41
14.578744,RI-BLS,1,90.88825222763215,0.07648029200208839,2026-05-28 10:27:41
14.667433,RI-BLS,2,90.91387056218548,0.07671104199835099,2026-05-28 10:27:41
15.115714,IMF-BLS (Ours),0,91.00194693054176,0.43611308300023666,2026-05-28 10:27:41
15.54393,IMF-BLS (Ours),1,90.88824942126546,0.416341290998389,2026-05-28 10:27:42
15.973129,IMF-BLS (Ours),2,90.91387365618726,0.41741191699838964,2026-05-28 10:27:42
